,Argonne_ID,DepMap_ID,RRID,cell_line_name,stripped_cell_line_name,CCLE_Name,Manual_edit
16,CTRP.MJ,ACH-000077,CVCL_1414,MJ,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
17,CCLE.TE125T,ACH-000079,CVCL_1740,TE 125.T,TE125T,TE125T_FIBROBLAST,
18,CCLE.MUTZ3,ACH-000084,CVCL_1433,,MUTZ3,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
19,CCLE.NCIH684,ACH-000089,CVCL_9980,NCI-H684,NCIH684,NCIH684_LARGE_INTESTINE,
20,CCLE.PANC0504,ACH-000093,CVCL_1637,Panc 05.04,PANC0504,PANC0504_PANCREAS,
21,CTRP.Panc-05-04,ACH-000093,CVCL_1637,Panc 05.04,PANC0504,PANC0504_PANCREAS,
22,CCLE.NCCSTCK140,ACH-000110,CVCL_3055,NCC-StC-K140,NCCSTCK140,NCCSTCK140_STOMACH,
23,CTRP.NCC-StC-K140,ACH-000110,CVCL_3055,NCC-StC-K140,NCCSTCK140,NCCSTCK140_STOMACH,
24,CCLE.HS863T,ACH-000119,CVCL_0959,Hs 863.T,HS863T,HS863T_FIBROBLAST,
25,CCLE.SUPT11,ACH-000122,CVCL_2210,SUP-T11,SUPT11,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
26,CTRP.SUP-T11,ACH-000122,CVCL_2210,SUP-T11,SUPT11,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
27,CCLE.TO175T,ACH-000125,CVCL_3806,TO 175.T,TO175T,TO175T_FIBROBLAST,
28,CCLE.NALM19,ACH-000130,CVCL_1835,NALM-19,NALM19,NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
29,CCLE.PFEIFFER,ACH-000140,CVCL_3326,Pfeiffer,PFEIFFER,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
30,CTRP.Pfeiffer,ACH-000140,CVCL_3326,Pfeiffer,PFEIFFER,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
31,CCLE.HS888T,ACH-000154,CVCL_0979,HS888T,HS888T,HS888T_FIBROBLAST,
32,CTRP.Hs-888-T,ACH-000154,CVCL_0979,HS888T,HS888T,HS888T_FIBROBLAST,
33,CCLE.OCILY3,ACH-000158,CVCL_8800,OCI-LY3,OCILY3,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
34,CTRP.OCI-LY3,ACH-000158,CVCL_8800,OCI-LY3,OCILY3,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
35,CCLE.HS751T,ACH-000165,CVCL_0891,,HS751T,HS751T_FIBROBLAST,
36,CCLE.KASUMI6,ACH-000166,CVCL_0614,Kasumi-6,KASUMI6,KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
37,CCLE.PRECLH,ACH-000170,CVCL_V626,PrEC LH,PRECLH,PRECLH_PROSTATE,
38,CCLE.TM-87,ACH-000172,CVCL_8001,TM-87,TM87,TM87_SOFT_TISSUE,
39,CCLE.JHUEM3,ACH-000173,CVCL_4657,JHUEM-3,JHUEM3,JHUEM3_ENDOMETRIUM,
40,CTRP.JHUEM-3,ACH-000173,CVCL_4657,JHUEM-3,JHUEM3,JHUEM3_ENDOMETRIUM,
41,CCLE.TE159T,ACH-000175,CVCL_1743,,TE159T,TE159T_FIBROBLAST,
42,CCLE.NCIH1618,ACH-000179,CVCL_1480,NCI-H1618,NCIH1618,NCIH1618_LUNG,
43,GDSC.NCI-H1618,ACH-000179,CVCL_1480,NCI-H1618,NCIH1618,NCIH1618_LUNG,
44,CCLE.HS839T,ACH-000180,CVCL_0941,Hs 839.T,HS839T,HS839T_FIBROBLAST,
45,CTRP.Hs-839-T,ACH-000180,CVCL_0941,Hs 839.T,HS839T,HS839T_FIBROBLAST,
46,CCLE.HS737T,ACH-000185,CVCL_0878,,HS737T,HS737T_FIBROBLAST,
47,CCLE.HS934T,ACH-000194,CVCL_1031,Hs 934.T,HS934T,HS934T_FIBROBLAST,
48,CTRP.Hs-934-T,ACH-000194,CVCL_1031,Hs 934.T,HS934T,HS934T_FIBROBLAST,
49,CCLE.PK59,ACH-000205,CVCL_4897,PK-59,PK59,PK59_PANCREAS,
50,gCSI.PK-59,ACH-000205,CVCL_4897,PK-59,PK59,PK59_PANCREAS,
51,CTRP.PK-59,ACH-000205,CVCL_4897,PK-59,PK59,PK59_PANCREAS,
52,CCLE.JHESOAD1,ACH-000216,CVCL_8098,JH-EsoAd1,JHESOAD1,JHESOAD1_OESOPHAGUS,
53,CCLE.MINO,ACH-000220,CVCL_1872,Mino,MINO,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
54,CTRP.Mino,ACH-000220,CVCL_1872,Mino,MINO,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
55,CCLE.HS819T,ACH-000224,CVCL_0928,,HS819T,HS819T_FIBROBLAST,
56,CCLE.HS822T,ACH-000229,CVCL_0933,,HS822T,HS822T_FIBROBLAST,
57,CTRP.Hs-822-T,ACH-000229,CVCL_0933,,HS822T,HS822T_FIBROBLAST,
58,CCLE.HS742T,ACH-000230,CVCL_0888,Hs 742.T,HS742T,HS742T_FIBROBLAST,
59,CCLE.HUG1N,ACH-000239,CVCL_4846,HuG1-N,HUG1N,HUG1N_STOMACH,
60,CTRP.HuG1-N,ACH-000239,CVCL_4846,HuG1-N,HUG1N,HUG1N_STOMACH,
61,CCLE.JK1,ACH-000241,CVCL_2079,JK-1,JK1,JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
62,CTRP.JK-1,ACH-000241,CVCL_2079,JK-1,JK1,JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
63,CCLE.HS834T,ACH-000275,CVCL_0938,,HS834T,HS834T_FIBROBLAST,
64,CCLE.HS840T,ACH-000284,CVCL_0942,,HS840T,HS840T_FIBROBLAST,
65,CCLE.TOLEDO,ACH-000285,CVCL_3611,Toledo,TOLEDO,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
66,GDSC.Toledo,ACH-000285,CVCL_3611,Toledo,TOLEDO,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
67,CTRP.Toledo,ACH-000285,CVCL_3611,Toledo,TOLEDO,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
68,NCI60.BT-549,ACH-000288,CVCL_1092,BT-549,BT549,BT549_BREAST,
69,CCLE.BT549,ACH-000288,CVCL_1092,BT-549,BT549,BT549_BREAST,
70,GDSC.BT-549,ACH-000288,CVCL_1092,BT-549,BT549,BT549_BREAST,
71,gCSI.BT-549,ACH-000288,CVCL_1092,BT-549,BT549,BT549_BREAST,
72,CTRP.BT-549,ACH-000288,CVCL_1092,BT-549,BT549,BT549_BREAST,
73,CCLE.NCIH889,ACH-000297,CVCL_1598,NCI-H889,NCIH889,NCIH889_LUNG,
74,gCSI.NCI-H889,ACH-000297,CVCL_1598,NCI-H889,NCIH889,NCIH889_LUNG,
75,CTRP.NCI-H889,ACH-000297,CVCL_1598,NCI-H889,NCIH889,NCIH889_LUNG,
76,CCLE.SLR25,ACH-000300,CVCL_V611,,SLR25,SLR25_KIDNEY,
77,CCLE.KMRC3,ACH-000313,CVCL_2985,KMRC-3,KMRC3,KMRC3_KIDNEY,
78,CTRP.KMRC-3,ACH-000313,CVCL_2985,KMRC-3,KMRC3,KMRC3_KIDNEY,
79,CCLE.MOLM6,ACH-000321,CVCL_2122,MOLM-6,MOLM6,MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
80,CTRP.MOLM-6,ACH-000321,CVCL_2122,MOLM-6,MOLM6,MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
81,CCLE.SNU620,ACH-000325,CVCL_5079,SNU-620,SNU620,SNU620_STOMACH,
82,CTRP.SNU-620,ACH-000325,CVCL_5079,SNU-620,SNU620,SNU620_STOMACH,
83,CCLE.LN215,ACH-000328,CVCL_3954,LN-215,LN215,LN215_CENTRAL_NERVOUS_SYSTEM,
84,CCLE.JHOM2B,ACH-000333,CVCL_4645,JHOM-2B,JHOM2B,JHOM2B_OVARY,
85,CCLE.HS870T,ACH-000340,CVCL_0966,Hs 870.T,HS870T,HS870T_FIBROBLAST,
86,CCLE.SKRC20,ACH-000385,CVCL_V605,SK-RC-20,SKRC20,SKRC20_KIDNEY,
87,CCLE.NUDHL1,ACH-000388,CVCL_1876,NU-DHL-1,NUDHL1,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
88,CTRP.NU-DHL-1,ACH-000388,CVCL_1876,NU-DHL-1,NUDHL1,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
89,CCLE.RI1,ACH-000398,CVCL_1885,RI-1,RI1,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
90,CTRP.RI-1,ACH-000398,CVCL_1885,RI-1,RI1,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
91,CCLE.HS739T,ACH-000413,CVCL_0882,,HS739T,HS739T_FIBROBLAST,
92,CCLE.SW1353,ACH-000418,CVCL_0543,SW 1353,SW1353,SW1353_BONE,
93,CTRP.SW-1353,ACH-000418,CVCL_0543,SW 1353,SW1353,SW1353_BONE,
94,CCLE.KMS28BM,ACH-000419,CVCL_2994,KMS-28BM,KMS28BM,KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
95,CTRP.KMS-28BM,ACH-000419,CVCL_2994,KMS-28BM,KMS28BM,KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
96,CCLE.MOLP2,ACH-000453,CVCL_2123,MOLP-2,MOLP2,MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
97,CTRP.MOLP-2,ACH-000453,CVCL_2123,MOLP-2,MOLP2,MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
98,CCLE.LN428,ACH-000455,CVCL_3959,LN-428,LN428,LN428_CENTRAL_NERVOUS_SYSTEM,
99,CCLE.NALM1,ACH-000462,CVCL_0091,NALM-1,NALM1,NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
100,CCLE.HCC56,ACH-000467,CVCL_2917,HCC-56,HCC56,HCC56_LARGE_INTESTINE,
101,GDSC.HCC-56,ACH-000467,CVCL_2917,HCC-56,HCC56,HCC56_LARGE_INTESTINE,
102,CTRP.HCC-56,ACH-000467,CVCL_2917,HCC-56,HCC56,HCC56_LARGE_INTESTINE,
103,CCLE.MUTZ5,ACH-000492,CVCL_1873,MUTZ-5,MUTZ5,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
104,CCLE.OELE,ACH-000494,CVCL_IW56,OELE,OELE,OELE_OVARY,
105,CCLE.SNU1272,ACH-000513,CVCL_8788,SNU-1272,SNU1272,SNU1272_KIDNEY,
106,CTRP.SNU-1272,ACH-000513,CVCL_8788,SNU-1272,SNU1272,SNU1272_KIDNEY,
107,CCLE.NCIH1184,ACH-000523,CVCL_1458,NCI-H1184,NCIH1184,NCIH1184_LUNG,
108,GDSC.NCI-H1184,ACH-000523,CVCL_1458,NCI-H1184,NCIH1184,NCIH1184_LUNG,
109,CTRP.NCI-H1184,ACH-000523,CVCL_1458,NCI-H1184,NCIH1184,NCIH1184_LUNG,
110,CCLE.HS821T,ACH-000526,CVCL_0932,Hs 821.T,HS821T,HS821T_FIBROBLAST,
111,CCLE.T173,ACH-000529,CVCL_3605,T1-73,T173,T173_FIBROBLAST,
112,CCLE.RS5,ACH-000531,CVCL_2182,,RS5,RS5_FIBROBLAST,
113,CCLE.NCI-H2004RT,ACH-000533,CVCL_WS70,NCI-H2004 RT,NCIH2004RT,NCIH2004RT_SOFT_TISSUE,
114,CCLE.SQ1,ACH-000553,CVCL_4900,Sq-1,SQ1,SQ1_LUNG,
115,CTRP.Sq-1,ACH-000553,CVCL_4900,Sq-1,SQ1,SQ1_LUNG,
116,CCLE.KHM1B,ACH-000564,CVCL_2972,KHM-1B,KHM1B,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
117,gCSI.KHM-1B,ACH-000564,CVCL_2972,KHM-1B,KHM1B,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
118,CTRP.KHM-1B,ACH-000564,CVCL_2972,KHM-1B,KHM1B,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
119,CCLE.KMS21BM,ACH-000598,CVCL_2991,KMS-21BM,KMS21BM,KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
120,CTRP.KMS-21BM,ACH-000598,CVCL_2991,KMS-21BM,KMS21BM,KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
121,CCLE.M07E,ACH-000602,CVCL_2106,M-07e,M07E,M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
122,CTRP.M-07e,ACH-000602,CVCL_2106,M-07e,M07E,M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
123,CCLE.HUT102,ACH-000612,CVCL_3526,,HUT102,HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
124,CCLE.IOMMLEE,ACH-000629,CVCL_5779,,IOMMLEE,IOMMLEE_CENTRAL_NERVOUS_SYSTEM,
125,CCLE.LN340,ACH-000634,CVCL_3955,LN-340,LN340,LN340_CENTRAL_NERVOUS_SYSTEM,
126,CCLE.SNU119,ACH-000635,CVCL_5014,SNU-119,SNU119,SNU119_OVARY,
127,CTRP.SNU-119,ACH-000635,CVCL_5014,SNU-119,SNU119,SNU119_OVARY,
128,CCLE.HMEL,ACH-000642,CVCL_IZ34,HMEL,HMEL,HMEL_BREAST,
129,CCLE.JL1,ACH-000645,CVCL_2080,JL-1,JL1,JL1_PLEURA,
130,CTRP.JL-1,ACH-000645,CVCL_2080,JL-1,JL1,JL1_PLEURA,
131,CCLE.L33,ACH-000685,CVCL_8147,L3.3,L33,L33_PANCREAS,
132,CTRP.L3-3,ACH-000685,CVCL_8147,L3.3,L33,L33_PANCREAS,
133,CCLE.KMRC2,ACH-000709,CVCL_2984,KMRC-2,KMRC2,KMRC2_KIDNEY,
134,CTRP.KMRC-2,ACH-000709,CVCL_2984,KMRC-2,KMRC2,KMRC2_KIDNEY,
135,CCLE.NCIH854,ACH-000710,CVCL_A584,NCI-H854,NCIH854,NCIH854_LUNG,
136,CCLE.YD10B,ACH-000723,CVCL_8929,YD-10B,YD10B,YD10B_UPPER_AERODIGESTIVE_TRACT,
137,CTRP.YD-10B,ACH-000723,CVCL_8929,YD-10B,YD10B,YD10B_UPPER_AERODIGESTIVE_TRACT,
138,CCLE.TE14,ACH-000726,CVCL_3336,TE-14,TE14,TE14_OESOPHAGUS,
139,CTRP.TE-14,ACH-000726,CVCL_3336,TE-14,TE14,TE14_OESOPHAGUS,
140,CCLE.KASUMI2,ACH-000728,CVCL_0590,KASUMI-2,KASUMI2,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
141,CTRP.KASUMI-2,ACH-000728,CVCL_0590,KASUMI-2,KASUMI2,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
142,CCLE.NCIH1385,ACH-000737,CVCL_1466,NCI-H1385,NCIH1385,NCIH1385_LUNG,
143,GDSC.NCI-H1385,ACH-000737,CVCL_1466,NCI-H1385,NCIH1385,NCIH1385_LUNG,
144,CTRP.NCI-H1385,ACH-000737,CVCL_1466,NCI-H1385,NCIH1385,NCIH1385_LUNG,
145,CCLE.UBLC1,ACH-000741,CVCL_2738,U-BLC1,UBLC1,UBLC1_URINARY_TRACT,
146,CTRP.U-BLC1,ACH-000741,CVCL_2738,U-BLC1,UBLC1,UBLC1_URINARY_TRACT,
147,CCLE.NUGC2,ACH-000761,CVCL_1611,NUGC-2,NUGC2,NUGC2_STOMACH,
148,CCLE.HLFA,ACH-000797,CVCL_2255,HLF-a,HLFA,HLFA_FIBROBLAST,
149,CCLE.HS936T,ACH-000801,CVCL_1033,Hs 936.T,HS936T,HS936T_SKIN,
150,CTRP.Hs-936-T,ACH-000801,CVCL_1033,Hs 936.T,HS936T,HS936T_SKIN,
151,CCLE.HUH28,ACH-000808,CVCL_2955,HuH28,HUH28,HUH28_BILIARY_TRACT,
152,CTRP.HuH-28,ACH-000808,CVCL_2955,HuH28,HUH28,HUH28_BILIARY_TRACT,
153,CCLE.T3M10,ACH-000813,CVCL_8067,T3M-10,T3M10,T3M10_LUNG,
154,CTRP.T3M-10,ACH-000813,CVCL_8067,T3M-10,T3M10,T3M10_LUNG,
155,CCLE.NCIH322,ACH-000837,CVCL_1556,NCI-H322,NCIH322,NCIH322_LUNG,
156,CTRP.NCI-H322,ACH-000837,CVCL_1556,NCI-H322,NCIH322,NCIH322_LUNG,
157,CCLE.NCIH1373,ACH-000845,CVCL_1465,NCI-H1373,NCIH1373,NCIH1373_LUNG,
158,CTRP.NCI-H1373,ACH-000845,CVCL_1465,NCI-H1373,NCIH1373,NCIH1373_LUNG,
159,CCLE.HS698T,ACH-000850,CVCL_0855,Hs 698.T,HS698T,HS698T_FIBROBLAST,
160,CCLE.OCI-MY5-2,ACH-000854,CVCL_E332,OCI-MY5,OCIMY5,OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Yes
161,CCLE.NCIH1930,ACH-000870,CVCL_1507,NCI-H1930,NCIH1930,NCIH1930_LUNG,
162,CCLE.WM88,ACH-000899,CVCL_6805,WM-88,WM88,WM88_SKIN,
163,CTRP.WM-88,ACH-000899,CVCL_6805,WM-88,WM88,WM88_SKIN,
164,CCLE.NCIH2106,ACH-000904,CVCL_1526,NCI-H2106,NCIH2106,NCIH2106_LUNG,
165,CTRP.NCI-H2106,ACH-000904,CVCL_1526,NCI-H2106,NCIH2106,NCIH2106_LUNG,
166,CCLE.SNU520,ACH-000908,CVCL_5072,SNU-520,SNU520,SNU520_STOMACH,
167,CCLE.JHUEM2,ACH-000909,CVCL_4656,JHUEM-2,JHUEM2,JHUEM2_ENDOMETRIUM,
168,CTRP.JHUEM-2,ACH-000909,CVCL_4656,JHUEM-2,JHUEM2,JHUEM2_ENDOMETRIUM,
169,CCLE.MDAPCA2B,ACH-000952,CVCL_4748,MDA PCa 2b,MDAPCA2B,MDAPCA2B_PROSTATE,
170,CCLE.HCC1588,ACH-001078,CVCL_A351,HCC-1588,HCC1588,HCC1588_LUNG,
171,CTRP.HCC-1588,ACH-001078,CVCL_A351,HCC-1588,HCC1588,HCC1588_LUNG,
172,CCLE.KD,ACH-001099,CVCL_U757,KD,KD,KD_SOFT_TISSUE,
173,CCLE.KPMRTRY,ACH-001109,CVCL_7051,KP-MRT-RY,KPMRTRY,KPMRTRY_SOFT_TISSUE,
174,CCLE.STM9101,ACH-001200,CVCL_8000,STM91-01,STM9101,STM9101_SOFT_TISSUE,
175,CCLE.TIG3TD,ACH-001207,CVCL_V617,TIG-3 TD,TIG3TD,TIG3TD_FIBROBLAST,
176,CCLE.SKNO-1-2,ACH-001656,CVCL_2196,SKNO-1,SKNO1,SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Yes
177,CCLE.NIHOVCAR3,ACH-000001,CVCL_0465,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,
178,NCI60.OVCAR-3,ACH-000001,CVCL_0465,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,
179,GDSC.OVCAR-3,ACH-000001,CVCL_0465,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,
180,NCI60.OVCAR-3,ACH-000001,CVCL_0465,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,
181,GDSC.OVCAR-3,ACH-000001,CVCL_0465,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,
182,NCI60.HL-60,ACH-000002,CVCL_0002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
183,CCLE.HL60,ACH-000002,CVCL_0002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
184,GDSC.HL-60,ACH-000002,CVCL_0002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
185,CTRP.HL-60,ACH-000002,CVCL_0002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
186,CCLE.Caco-2,ACH-000003,CVCL_0025,CACO2,CACO2,CACO2_LARGE_INTESTINE,
187,CCLE.HEL,ACH-000004,CVCL_0001,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
188,GDSC.HEL,ACH-000004,CVCL_0001,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
189,gCSI.HEL,ACH-000004,CVCL_0001,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
190,CTRP.HEL,ACH-000004,CVCL_0001,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
191,CCLE.HEL9217,ACH-000005,CVCL_2481,HEL 92.1.7,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
192,CTRP.HEL-92-1-7,ACH-000005,CVCL_2481,HEL 92.1.7,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
193,CCLE.MONOMAC6,ACH-000006,CVCL_1426,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
194,GDSC.MONO-MAC-6,ACH-000006,CVCL_1426,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
195,CTRP.MONO-MAC-6,ACH-000006,CVCL_1426,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
196,CCLE.LS513,ACH-000007,CVCL_1386,LS513,LS513,LS513_LARGE_INTESTINE,
197,GDSC.LS-513,ACH-000007,CVCL_1386,LS513,LS513,LS513_LARGE_INTESTINE,
198,CTRP.LS-513,ACH-000007,CVCL_1386,LS513,LS513,LS513_LARGE_INTESTINE,
199,CCLE.A101D,ACH-000008,CVCL_1057,A101D,A101D,A101D_SKIN,
200,GDSC.A101D,ACH-000008,CVCL_1057,A101D,A101D,A101D_SKIN,
201,CTRP.A101D,ACH-000008,CVCL_1057,A101D,A101D,A101D_SKIN,
202,CCLE.C2BBE1,ACH-000009,CVCL_1096,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,
203,GDSC.C2BBe1,ACH-000009,CVCL_1096,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,
204,gCSI.C2BBE1,ACH-000009,CVCL_1096,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,
205,CTRP.C2BBe1,ACH-000009,CVCL_1096,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,
206,CCLE.253J,ACH-000011,CVCL_7935,253J,253J,253J_URINARY_TRACT,
207,CTRP.253J,ACH-000011,CVCL_7935,253J,253J,253J_URINARY_TRACT,
208,CCLE.HCC827,ACH-000012,CVCL_2063,HCC827,HCC827,HCC827_LUNG,
209,GDSC.HCC-827,ACH-000012,CVCL_2063,HCC827,HCC827,HCC827_LUNG,
210,gCSI.HCC827,ACH-000012,CVCL_2063,HCC827,HCC827,HCC827_LUNG,
211,CTRP.HCC827,ACH-000012,CVCL_2063,HCC827,HCC827,HCC827_LUNG,
212,CCLE.ONCODG1,ACH-000013,CVCL_1882,ONCO-DG-1,ONCODG1,ONCODG1_OVARY,
213,gCSI.ONCO-DG-1,ACH-000013,CVCL_1882,ONCO-DG-1,ONCODG1,ONCODG1_OVARY,
214,CTRP.ONCO-DG-1,ACH-000013,CVCL_1882,ONCO-DG-1,ONCODG1,ONCODG1_OVARY,
215,CCLE.HS294T,ACH-000014,CVCL_0331,Hs 294T,HS294T,HS294T_SKIN,
216,gCSI.HS-294T,ACH-000014,CVCL_0331,Hs 294T,HS294T,HS294T_SKIN,
217,CTRP.Hs-294T,ACH-000014,CVCL_0331,Hs 294T,HS294T,HS294T_SKIN,
218,CCLE.NCIH1581,ACH-000015,CVCL_1479,NCI-H1581,NCIH1581,NCIH1581_LUNG,
219,GDSC.NCI-H1581,ACH-000015,CVCL_1479,NCI-H1581,NCIH1581,NCIH1581_LUNG,
220,gCSI.NCI-H1581,ACH-000015,CVCL_1479,NCI-H1581,NCIH1581,NCIH1581_LUNG,
221,CTRP.NCI-H1581,ACH-000015,CVCL_1479,NCI-H1581,NCIH1581,NCIH1581_LUNG,
222,CCLE.SKBR3,ACH-000017,CVCL_0033,SK-BR-3,SKBR3,SKBR3_BREAST,
223,gCSI.SK-BR-3,ACH-000017,CVCL_0033,SK-BR-3,SKBR3,SKBR3_BREAST,
224,CTRP.SK-BR-3,ACH-000017,CVCL_0033,SK-BR-3,SKBR3,SKBR3_BREAST,
225,CCLE.T24,ACH-000018,CVCL_0554,T24,T24,T24_URINARY_TRACT,
226,GDSC.T-24,ACH-000018,CVCL_0554,T24,T24,T24_URINARY_TRACT,
227,CTRP.T-24,ACH-000018,CVCL_0554,T24,T24,T24_URINARY_TRACT,
228,NCI60.MCF7,ACH-000019,CVCL_0031,MCF7,MCF7,MCF7_BREAST,
229,CCLE.MCF7,ACH-000019,CVCL_0031,MCF7,MCF7,MCF7_BREAST,
